time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-10-26 00:00:00+00:00,5,5,4,2
2022-10-27 00:00:00+00:00,7,7,11,8
2022-10-28 00:00:00+00:00,5,5,7,5
2022-10-29 00:00:00+00:00,10,7,2,1
2022-10-30 00:00:00+00:00,3,3,1,1
2022-10-31 00:00:00+00:00,5,5,22,9
2022-11-01 00:00:00+00:00,6,6,10,5
2022-11-02 00:00:00+00:00,8,8,10,7
2022-11-03 00:00:00+00:00,7,7,4,3
2022-11-04 00:00:00+00:00,7,6,9,8
2022-11-05 00:00:00+00:00,4,4,7,4
2022-11-06 00:00:00+00:00,3,3,14,5
2022-11-07 00:00:00+00:00,6,6,5,4
2022-11-08 00:00:00+00:00,11,11,55,7
2022-11-09 00:00:00+00:00,9,9,4,4
2022-11-10 00:00:00+00:00,7,7,9,5
2022-11-11 00:00:00+00:00,3,3,8,4
2022-11-12 00:00:00+00:00,3,3,3,2
2022-11-13 00:00:00+00:00,5,5,1,1
2022-11-14 00:00:00+00:00,6,6,4,3
2022-11-15 00:00:00+00:00,3,3,9,7
2022-11-16 00:00:00+00:00,8,7,8,5
2022-11-17 00:00:00+00:00,3,3,8,6
2022-11-18 00:00:00+00:00,6,6,3,3
2022-11-19 00:00:00+00:00,4,4,4,3
2022-11-20 00:00:00+00:00,4,4,0,0
2022-11-21 00:00:00+00:00,6,6,2,2
2022-11-22 00:00:00+00:00,6,6,1,1
2022-11-23 00:00:00+00:00,6,6,6,6
2022-11-24 00:00:00+00:00,4,4,3,3
2022-11-25 00:00:00+00:00,5,5,3,3
2022-11-26 00:00:00+00:00,4,4,1,1
2022-11-27 00:00:00+00:00,4,4,0,0
2022-11-28 00:00:00+00:00,4,4,18,9
2022-11-29 00:00:00+00:00,8,8,26,17
2022-11-30 00:00:00+00:00,7,7,17,10
2022-12-01 00:00:00+00:00,6,6,9,9
2022-12-02 00:00:00+00:00,4,4,9,8
2022-12-03 00:00:00+00:00,4,4,1,1
2022-12-04 00:00:00+00:00,6,6,15,4
2022-12-05 00:00:00+00:00,10,8,12,8
2022-12-06 00:00:00+00:00,11,8,5,5
2022-12-07 00:00:00+00:00,9,7,9,6
2022-12-08 00:00:00+00:00,4,4,5,3
2022-12-09 00:00:00+00:00,6,6,4,3
2022-12-10 00:00:00+00:00,6,6,2,2
2022-12-11 00:00:00+00:00,4,4,1,1
2022-12-12 00:00:00+00:00,4,4,6,6
2022-12-13 00:00:00+00:00,4,4,1,1
2022-12-14 00:00:00+00:00,6,6,15,5
2022-12-15 00:00:00+00:00,4,4,8,6
2022-12-16 00:00:00+00:00,5,5,5,4
2022-12-17 00:00:00+00:00,5,5,2,2
2022-12-18 00:00:00+00:00,4,4,0,0
2022-12-19 00:00:00+00:00,5,5,5,5
2022-12-20 00:00:00+00:00,5,5,2,2
2022-12-21 00:00:00+00:00,3,3,3,3
2022-12-22 00:00:00+00:00,4,4,15,8
2022-12-23 00:00:00+00:00,4,4,24,16
2022-12-24 00:00:00+00:00,5,5,10,7
2022-12-25 00:00:00+00:00,3,3,9,8
2022-12-26 00:00:00+00:00,3,3,8,5
