time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-31 00:00:00+00:00,6,5,63,5
2024-06-01 00:00:00+00:00,9,6,102,6
2024-06-02 00:00:00+00:00,10,7,241,7
2024-06-03 00:00:00+00:00,6,6,58,5
2024-06-04 00:00:00+00:00,5,5,353,5
2024-06-05 00:00:00+00:00,6,6,8,4
2024-06-06 00:00:00+00:00,5,5,18,10
2024-06-07 00:00:00+00:00,6,6,17,10
2024-06-08 00:00:00+00:00,9,6,11,3
2024-06-09 00:00:00+00:00,8,5,194,6
2024-06-10 00:00:00+00:00,4,4,72,8
2024-06-11 00:00:00+00:00,5,5,79,16
2024-06-12 00:00:00+00:00,8,5,23,14
2024-06-13 00:00:00+00:00,5,5,17,7
