url_path,views_total,views_unique
/awslabs/assisted-log-enabler-for-aws,108,40
/awslabs/assisted-log-enabler-for-aws/blob/main/CHANGELOG.md,60,3
/awslabs/assisted-log-enabler-for-aws/blob/main/CODE_OF_CONDUCT.md,60,3
/awslabs/assisted-log-enabler-for-aws/blob/main/CONTRIBUTING.md,60,3
/awslabs/assisted-log-enabler-for-aws/blob/main/README.md,60,3
/awslabs/assisted-log-enabler-for-aws/pulls,36,4
/awslabs/assisted-log-enabler-for-aws/issues,35,4
/awslabs/assisted-log-enabler-for-aws/blob/main/assisted_log_enabler.py,24,6
/awslabs/assisted-log-enabler-for-aws/blob/main/permissions/ALE_child_account_role.yaml,21,4
/awslabs/assisted-log-enabler-for-aws/blob/main/diagrams/assisted_log_enabler.png,20,4
