referrer,views_total,views_unique
Google,29,11
DuckDuckGo,28,10
github.com,18,6
statics.teams.cdn.office.net,5,2
linkedin.com,4,2
com.linkedin.android,4,2
pages.awscloud.com,2,1
aws-blogs-prod.amazon.com,1,1
