time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-22 00:00:00+00:00,10,6,22,11
2025-12-23 00:00:00+00:00,12,8,7,6
2025-12-24 00:00:00+00:00,16,6,8,6
2025-12-25 00:00:00+00:00,12,6,19,8
2025-12-26 00:00:00+00:00,16,10,29,9
2025-12-27 00:00:00+00:00,10,4,65,12
2025-12-28 00:00:00+00:00,17,7,24,7
2025-12-29 00:00:00+00:00,7,3,43,14
2025-12-30 00:00:00+00:00,14,11,4,2
2025-12-31 00:00:00+00:00,16,9,1,1
2026-01-01 00:00:00+00:00,6,6,19,7
2026-01-02 00:00:00+00:00,12,8,58,8
2026-01-03 00:00:00+00:00,15,7,38,8
2026-01-04 00:00:00+00:00,12,8,30,8
