url_path,views_total,views_unique
/awslabs/assisted-log-enabler-for-aws,136,40
/awslabs/assisted-log-enabler-for-aws/actions,51,4
/awslabs/assisted-log-enabler-for-aws/issues,49,11
/awslabs/assisted-log-enabler-for-aws/pulls,47,13
/awslabs/assisted-log-enabler-for-aws/pull/65,17,4
/awslabs/assisted-log-enabler-for-aws/activity,16,3
/awslabs/assisted-log-enabler-for-aws/pull/55,16,3
/awslabs/assisted-log-enabler-for-aws/labels,13,4
/awslabs/assisted-log-enabler-for-aws/blob/main/LICENSE,12,5
/awslabs/assisted-log-enabler-for-aws/blob/main/diagrams/assisted_log_enabler.png,12,4
