url_path,views_total,views_unique
/awslabs/assisted-log-enabler-for-aws,114,41
/awslabs/assisted-log-enabler-for-aws/pulls,95,10
/awslabs/assisted-log-enabler-for-aws/issues,63,8
/awslabs/assisted-log-enabler-for-aws/actions,15,1
/awslabs/assisted-log-enabler-for-aws/commits,14,1
/awslabs/assisted-log-enabler-for-aws/pull/68,10,3
/awslabs/assisted-log-enabler-for-aws/activity,7,2
/awslabs/assisted-log-enabler-for-aws/blob/main/permissions/ALE_child_account_role.yaml,6,3
/awslabs/assisted-log-enabler-for-aws/blob/main/NOTICE,6,2
/awslabs/assisted-log-enabler-for-aws/pull/55,6,1
