url_path,views_total,views_unique
/awslabs/assisted-log-enabler-for-aws,148,59
/awslabs/assisted-log-enabler-for-aws/pulls,56,6
/awslabs/assisted-log-enabler-for-aws/blob/main/README.md,50,5
/awslabs/assisted-log-enabler-for-aws/blob/main/CHANGELOG.md,48,4
/awslabs/assisted-log-enabler-for-aws/blob/main/CODE_OF_CONDUCT.md,48,4
/awslabs/assisted-log-enabler-for-aws/blob/main/CONTRIBUTING.md,48,4
/awslabs/assisted-log-enabler-for-aws/issues,38,4
/awslabs/assisted-log-enabler-for-aws/forks,33,4
/awslabs/assisted-log-enabler-for-aws/blob/main/assisted_log_enabler.py,30,9
/awslabs/assisted-log-enabler-for-aws/tree/main/subfunctions,20,5
