referrer,views_total,views_unique
Google,41,16
linkedin.com,17,4
github.com,12,10
Bing,3,2
com.linkedin.android,2,2
techopsexamples.com,2,2
pages.awscloud.com,1,1
joshuamckiddy.com,1,1
medium.com,1,1
