time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-20 00:00:00+00:00,18,8,9,5
2026-01-21 00:00:00+00:00,34,16,3,3
2026-01-22 00:00:00+00:00,11,7,0,0
2026-01-23 00:00:00+00:00,4,4,8,7
2026-01-24 00:00:00+00:00,26,10,44,7
2026-01-25 00:00:00+00:00,18,10,29,8
2026-01-26 00:00:00+00:00,17,9,21,6
2026-01-27 00:00:00+00:00,17,7,28,8
2026-01-28 00:00:00+00:00,12,8,18,6
2026-01-29 00:00:00+00:00,20,7,56,8
2026-01-30 00:00:00+00:00,13,9,52,7
2026-01-31 00:00:00+00:00,18,8,5,4
2026-02-01 00:00:00+00:00,12,8,33,13
2026-02-02 00:00:00+00:00,25,13,120,14
