url_path,views_total,views_unique
/awslabs/assisted-log-enabler-for-aws,201,59
/awslabs/assisted-log-enabler-for-aws/pulls,35,5
/awslabs/assisted-log-enabler-for-aws/issues,35,4
/awslabs/assisted-log-enabler-for-aws/forks,22,4
/awslabs/assisted-log-enabler-for-aws/graphs/commit-activity,9,4
/awslabs/assisted-log-enabler-for-aws/actions,4,3
/awslabs/assisted-log-enabler-for-aws/issues/16,3,3
/awslabs/assisted-log-enabler-for-aws/issues/38,3,3
/awslabs/assisted-log-enabler-for-aws/issues/58,3,3
/awslabs/assisted-log-enabler-for-aws/issues/59,3,3
