time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-06 00:00:00+00:00,12,6,93,10
2025-07-07 00:00:00+00:00,17,11,65,9
2025-07-08 00:00:00+00:00,12,4,77,12
2025-07-09 00:00:00+00:00,19,12,22,12
2025-07-10 00:00:00+00:00,24,12,10,6
2025-07-11 00:00:00+00:00,12,6,28,10
2025-07-12 00:00:00+00:00,18,11,17,8
2025-07-13 00:00:00+00:00,11,5,197,15
2025-07-14 00:00:00+00:00,16,9,364,14
2025-07-15 00:00:00+00:00,14,6,160,17
2025-07-16 00:00:00+00:00,14,8,23,9
2025-07-17 00:00:00+00:00,15,7,51,12
2025-07-18 00:00:00+00:00,11,5,43,9
2025-07-19 00:00:00+00:00,2,2,126,9
