time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-22 00:00:00+00:00,4,4,25,11
2024-01-23 00:00:00+00:00,4,4,10,7
2024-01-24 00:00:00+00:00,3,3,20,15
2024-01-25 00:00:00+00:00,4,4,52,7
2024-01-26 00:00:00+00:00,5,5,19,8
2024-01-27 00:00:00+00:00,4,4,7,5
2024-01-28 00:00:00+00:00,5,5,11,5
2024-01-29 00:00:00+00:00,4,4,14,11
2024-01-30 00:00:00+00:00,4,4,11,6
2024-01-31 00:00:00+00:00,5,5,28,7
2024-02-01 00:00:00+00:00,4,4,46,20
2024-02-02 00:00:00+00:00,4,4,92,13
2024-02-03 00:00:00+00:00,5,5,19,7
2024-02-04 00:00:00+00:00,2,2,3,2
