url_path,views_total,views_unique
/awslabs/assisted-log-enabler-for-aws,156,50
/awslabs/assisted-log-enabler-for-aws/pulls,115,10
/awslabs/assisted-log-enabler-for-aws/issues,89,9
/awslabs/assisted-log-enabler-for-aws/commit/4fe39e63553b7c5af61b003736046d941f3730f3,8,3
/awslabs/assisted-log-enabler-for-aws/actions,7,4
/awslabs/assisted-log-enabler-for-aws/releases,6,5
/awslabs/assisted-log-enabler-for-aws/commit/b51d27e271094590b6d129ea060196d2739a80c4,6,3
/awslabs/assisted-log-enabler-for-aws/issues/16,5,5
/awslabs/assisted-log-enabler-for-aws/pull/55,5,3
/awslabs/assisted-log-enabler-for-aws/blob/main/diagrams/assisted_log_enabler_s3.png,4,4
