time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-17 00:00:00+00:00,11,5,165,12
2025-08-18 00:00:00+00:00,12,6,61,13
2025-08-19 00:00:00+00:00,15,7,17,7
2025-08-20 00:00:00+00:00,14,8,29,10
2025-08-21 00:00:00+00:00,12,5,219,12
2025-08-22 00:00:00+00:00,12,6,16,6
2025-08-23 00:00:00+00:00,12,6,6,5
2025-08-24 00:00:00+00:00,14,8,59,9
2025-08-25 00:00:00+00:00,13,6,205,15
2025-08-26 00:00:00+00:00,12,6,16,6
2025-08-27 00:00:00+00:00,12,6,150,9
2025-08-28 00:00:00+00:00,12,6,28,6
2025-08-29 00:00:00+00:00,10,4,16,7
2025-08-30 00:00:00+00:00,2,2,118,10
