url_path,views_total,views_unique
/awslabs/assisted-log-enabler-for-aws,266,53
/awslabs/assisted-log-enabler-for-aws/blob/main/CONTRIBUTING.md,36,4
/awslabs/assisted-log-enabler-for-aws/pulls,26,7
/awslabs/assisted-log-enabler-for-aws/issues,26,6
/awslabs/assisted-log-enabler-for-aws/blob/main/assisted_log_enabler.py,24,7
/awslabs/assisted-log-enabler-for-aws/blob/main/diagrams/assisted_log_enabler.png,20,5
/awslabs/assisted-log-enabler-for-aws/blob/main/permissions/ALE_child_account_role.yaml,20,5
/awslabs/assisted-log-enabler-for-aws/blob/main/README.md,20,5
/awslabs/assisted-log-enabler-for-aws/pull/56,20,4
/awslabs/assisted-log-enabler-for-aws/activity,18,4
