url_path,views_total,views_unique
/awslabs/assisted-log-enabler-for-aws,141,59
/awslabs/assisted-log-enabler-for-aws/issues,28,4
/awslabs/assisted-log-enabler-for-aws/pulls,28,4
/awslabs/assisted-log-enabler-for-aws/blob/main/README.md,14,3
/awslabs/assisted-log-enabler-for-aws/blob/main/assisted_log_enabler.py,12,5
/awslabs/assisted-log-enabler-for-aws/blob/main/CHANGELOG.md,12,2
/awslabs/assisted-log-enabler-for-aws/blob/main/CODE_OF_CONDUCT.md,12,2
/awslabs/assisted-log-enabler-for-aws/blob/main/CONTRIBUTING.md,12,2
/awslabs/assisted-log-enabler-for-aws/blob/main/diagrams/assisted_log_enabler_lb.png,8,3
/awslabs/assisted-log-enabler-for-aws/blob/main/diagrams/assisted_log_enabler.png,8,3
