url_path,views_total,views_unique
/awslabs/assisted-log-enabler-for-aws,168,79
/awslabs/assisted-log-enabler-for-aws/forks,100,8
/awslabs/assisted-log-enabler-for-aws/issues,63,9
/awslabs/assisted-log-enabler-for-aws/pulls,41,9
/awslabs/assisted-log-enabler-for-aws/graphs/commit-activity,18,8
/awslabs/assisted-log-enabler-for-aws/actions,16,3
/awslabs/assisted-log-enabler-for-aws/stargazers,12,5
/awslabs/assisted-log-enabler-for-aws/activity,7,3
/awslabs/assisted-log-enabler-for-aws/labels,7,3
/awslabs/assisted-log-enabler-for-aws/tree/main/diagrams,6,5
