url_path,views_total,views_unique
/awslabs/assisted-log-enabler-for-aws,175,84
/awslabs/assisted-log-enabler-for-aws/blob/main/README.md,23,5
/awslabs/assisted-log-enabler-for-aws/issues,19,7
/awslabs/assisted-log-enabler-for-aws/pulls,17,6
/awslabs/assisted-log-enabler-for-aws/blob/main/assisted_log_enabler.py,12,6
/awslabs/assisted-log-enabler-for-aws/tree/main/subfunctions,10,3
/awslabs/assisted-log-enabler-for-aws/pull/56,10,2
/awslabs/assisted-log-enabler-for-aws/tree/main/permissions,9,2
/awslabs/assisted-log-enabler-for-aws/blob/main/diagrams/assisted_log_enabler.png,8,4
/awslabs/assisted-log-enabler-for-aws/blob/main/permissions/ALE_child_account_role.yaml,8,4
