url_path,views_total,views_unique
/awslabs/assisted-log-enabler-for-aws,130,54
/awslabs/assisted-log-enabler-for-aws/pulls,16,4
/awslabs/assisted-log-enabler-for-aws/issues,13,5
/awslabs/assisted-log-enabler-for-aws/forks,8,4
/awslabs/assisted-log-enabler-for-aws/tree/main,8,2
/awslabs/assisted-log-enabler-for-aws/graphs/commit-activity,7,4
/awslabs/assisted-log-enabler-for-aws/blob/main/assisted_log_enabler.py,5,5
/awslabs/assisted-log-enabler-for-aws/blob/main/README.md,5,4
/awslabs/assisted-log-enabler-for-aws/commits/main,4,3
/awslabs/assisted-log-enabler-for-aws/releases/tag/v1.6.0,4,3
