url_path,views_total,views_unique
/awslabs/assisted-log-enabler-for-aws,169,64
/awslabs/assisted-log-enabler-for-aws/issues,29,5
/awslabs/assisted-log-enabler-for-aws/pulls,27,3
/awslabs/assisted-log-enabler-for-aws/forks,6,3
/awslabs/assisted-log-enabler-for-aws/graphs/commit-activity,6,3
/awslabs/assisted-log-enabler-for-aws/blob/main/diagrams/assisted_log_enabler.png,3,3
/awslabs/assisted-log-enabler-for-aws/commits/main,3,2
/awslabs/assisted-log-enabler-for-aws/actions/runs/6412461331,2,2
/awslabs/assisted-log-enabler-for-aws/blob/main/.github/workflows/github-repo-stats.yml,1,1
/awslabs/assisted-log-enabler-for-aws/blob/main/permissions/ALE_child_account_role.yaml,1,1
