referrer,views_total,views_unique
t.co,86,63
Google,18,8
github.com,15,12
mail.google.com,12,12
tldrsec.com,10,10
com.google.android.gm,9,8
cloudseclist.com,4,4
pages.awscloud.com,4,3
DuckDuckGo,1,1
feedly.com,1,1
