time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-28 00:00:00+00:00,3,3,73,8
2024-02-29 00:00:00+00:00,7,6,15,11
2024-03-01 00:00:00+00:00,4,4,20,13
2024-03-02 00:00:00+00:00,3,3,11,6
2024-03-03 00:00:00+00:00,4,4,12,8
2024-03-04 00:00:00+00:00,5,5,7,5
2024-03-05 00:00:00+00:00,4,4,15,8
2024-03-06 00:00:00+00:00,3,3,19,9
2024-03-07 00:00:00+00:00,3,3,12,7
2024-03-08 00:00:00+00:00,4,4,31,15
2024-03-09 00:00:00+00:00,3,3,61,4
2024-03-10 00:00:00+00:00,3,3,67,7
2024-03-11 00:00:00+00:00,4,4,74,13
2024-03-12 00:00:00+00:00,5,3,11,7
