url_path,views_total,views_unique
/awslabs/assisted-log-enabler-for-aws,125,42
/awslabs/assisted-log-enabler-for-aws/actions,47,4
/awslabs/assisted-log-enabler-for-aws/issues,44,10
/awslabs/assisted-log-enabler-for-aws/pulls,39,11
/awslabs/assisted-log-enabler-for-aws/pull/65,17,4
/awslabs/assisted-log-enabler-for-aws/commit/e02fa4a7815fe759064554b0ac370d90dee3fb52,13,4
/awslabs/assisted-log-enabler-for-aws/activity,13,3
/awslabs/assisted-log-enabler-for-aws/pull/55,13,3
/awslabs/assisted-log-enabler-for-aws/actions/caches,11,1
/awslabs/assisted-log-enabler-for-aws/blob/main/LICENSE,10,5
